ID_Venta,ID_Cliente,Fecha_Venta,Metodo_Pago,Modo_Entrega,ID_Detalle_Venta,ID_Producto_Venta,Cantidad,Precio_Unitario,Longitud_mt,Capas,Tipo_Empaque,ID_Producto,Tipo_Producto,Denier,Longitud_mm,Descripcion,ID_Importacion,Costo_Unitario,Volumen,Fecha_Importacion,Costo_Transporte,IVA,Arancel,Costo_Agente,Fecha_Costo,ID_Produccion,Costo_Produccion,Cantidad_Producida,Fecha_Produccion
9,1,2023-03-11,Efectivo,Retirado,67,1,20.0,21.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
9,1,2023-03-11,Efectivo,Retirado,68,1,15.0,21.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
9,1,2023-03-11,Efectivo,Retirado,69,6,9.5,22.0,2.2,2.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
9,1,2023-03-11,Efectivo,Retirado,70,6,11.2,22.0,2.2,3.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
9,1,2023-03-11,Efectivo,Retirado,71,5,9.5,22.0,2.4,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
9,1,2023-03-11,Efectivo,Retirado,72,5,11.0,22.0,2.3,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
10,1,2023-03-15,QR,Retirado,73,2,10.0,21.0,,,saco,2,Fibra Siliconada,18,64,"material extra aspero grade a, hcs - made in China",,,,,,,,,,,,,
10,1,2023-03-15,QR,Retirado,74,2,10.0,21.0,,,saco,2,Fibra Siliconada,18,64,"material extra aspero grade a, hcs - made in China",,,,,,,,,,,,,
10,1,2023-03-15,QR,Retirado,75,5,10.0,21.5,2.0,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
10,1,2023-03-15,QR,Retirado,76,5,9.8,21.5,2.0,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
10,1,2023-03-15,QR,Retirado,77,5,11.5,21.5,2.0,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
10,1,2023-03-15,QR,Retirado,78,5,9.6,21.5,2.2,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
10,1,2023-03-15,QR,Retirado,79,5,11.6,21.5,2.2,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
11,1,2023-03-25,Efectivo,Retirado,80,1,10.0,21.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
11,1,2023-03-25,Efectivo,Retirado,81,3,20.0,21.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
11,1,2023-03-25,Efectivo,Retirado,82,6,10.6,22.0,2.2,1.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
11,1,2023-03-25,Efectivo,Retirado,83,6,12.1,22.0,2.2,1.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
11,1,2023-03-25,Efectivo,Retirado,84,6,9.8,22.0,2.0,1.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
12,1,2023-03-31,QR,Entregado,85,1,20.0,21.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
12,1,2023-03-31,QR,Entregado,86,1,20.0,21.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
12,1,2023-03-31,QR,Entregado,87,6,12.2,22.0,2.4,5.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
12,1,2023-03-31,QR,Entregado,88,6,11.6,22.0,2.4,4.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
12,1,2023-03-31,QR,Entregado,89,7,10.8,22.5,2.4,4.0,rollo,7,Fibra Discontinua de poliéster,7,64,psf material suave de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
13,1,2023-04-08,Efectivo,Retirado,132,1,20.0,20.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
13,1,2023-04-08,Efectivo,Retirado,133,1,20.0,20.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
13,1,2023-04-08,Efectivo,Retirado,134,3,10.0,21.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
13,1,2023-04-08,Efectivo,Retirado,135,3,20.0,21.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
13,1,2023-04-08,Efectivo,Retirado,136,6,9.5,22.5,2.1,4.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
13,1,2023-04-08,Efectivo,Retirado,137,5,10.2,22.5,2.2,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
13,1,2023-04-08,Efectivo,Retirado,138,6,11.1,22.5,2.3,2.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
13,1,2023-04-08,Efectivo,Retirado,139,6,10.0,22.5,2.3,2.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
14,1,2023-04-22,QR,Entregado,140,1,20.0,20.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
14,1,2023-04-22,QR,Entregado,141,1,20.0,20.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
14,1,2023-04-22,QR,Entregado,142,3,20.0,21.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
14,1,2023-04-22,QR,Entregado,143,3,10.0,21.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
14,1,2023-04-22,QR,Entregado,144,6,9.8,22.5,2.1,3.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
14,1,2023-04-22,QR,Entregado,145,5,10.4,22.5,2.2,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
14,1,2023-04-22,QR,Entregado,146,6,10.9,22.5,2.3,3.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
15,1,2023-04-28,QR,Retirado,147,1,20.0,20.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
15,1,2023-04-28,QR,Retirado,148,1,20.0,20.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
15,1,2023-04-28,QR,Retirado,149,3,10.0,21.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
15,1,2023-04-28,QR,Retirado,150,3,10.0,21.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
15,1,2023-04-28,QR,Retirado,151,6,11.0,22.5,2.0,3.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
15,1,2023-04-28,QR,Retirado,152,5,10.7,22.5,2.1,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
15,1,2023-04-28,QR,Retirado,153,6,9.6,22.5,2.3,2.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
16,1,2023-05-05,Efectivo,Retirado,154,1,20.0,20.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
16,1,2023-05-05,Efectivo,Retirado,155,1,10.0,20.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
16,1,2023-05-05,Efectivo,Retirado,156,3,20.0,21.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
16,1,2023-05-05,Efectivo,Retirado,157,3,20.0,21.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
16,1,2023-05-05,Efectivo,Retirado,158,6,10.0,22.5,2.1,2.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
16,1,2023-05-05,Efectivo,Retirado,159,5,11.2,22.5,2.2,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
16,1,2023-05-05,Efectivo,Retirado,160,6,10.5,22.5,2.3,2.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
17,1,2023-05-15,QR,Entregado,161,1,20.0,21.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
17,1,2023-05-15,QR,Entregado,162,5,10.7,22.0,2.1,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
